ticker,event_date,horizon,direction,surprise_pct,stock_return,spy_return,abnormal_return,direction_correct
AMZN,2025-05-01,5,long,16.77,0.7606341662392317,1.180022263319578,-0.4193880970803464,False
AMZN,2025-05-01,10,long,16.77,7.627337204901767,5.728150939558514,1.899186265343253,True
AMZN,2025-02-06,1,long,25.36,-3.7225330090485307,-0.9153481197679348,-2.8071848892805957,False
AMZN,2025-02-06,3,long,25.36,-2.205789723611465,-0.16657640501545,-2.0392133185960155,False
AMZN,2025-02-06,5,long,25.36,-3.2099489794446456,0.5624034470112704,-3.772352426455916,False
AMZN,2025-02-06,10,long,25.36,-9.00382049929662,-1.0522571557336708,-7.951563343562948,False
AMZN,2024-10-31,1,long,25.22,3.8948078226305687,0.42204506992948543,3.4727627527010836,True
AMZN,2024-10-31,3,long,25.22,4.718915412514738,1.4173931560477449,3.3015222564669933,True
AMZN,2024-10-31,5,long,25.22,10.256684220428516,4.742882796834159,5.513801423594357,True
AMZN,2024-10-31,10,long,25.22,11.007297163063365,4.345453744885184,6.661843418178181,True
AMZN,2024-08-01,1,long,22.92,-11.300121585040728,-1.8618386879309636,-9.438282897109763,False
AMZN,2024-08-01,3,long,22.92,-14.454013197091664,-3.8415428696426,-10.612470327449063,False
AMZN,2024-08-01,5,long,22.92,-12.40952563132446,-2.27620418481034,-10.13332144651412,False
AMZN,2024-08-01,10,long,22.92,-6.180990735498809,1.8526458680168136,-8.033636603515623,False
AMZN,2024-04-30,1,long,18.16,-1.1541202607298973,-0.32470268073850694,-0.8294175799913903,False
AMZN,2024-04-30,3,long,18.16,2.827329217249131,1.8546619068599441,0.9726673103891865,True
AMZN,2024-04-30,5,long,18.16,4.235462103955253,3.0200444324740046,1.2154176714812486,True
AMZN,2024-04-30,10,long,18.16,3.3022315463357756,4.247184049146613,-0.944952502810837,False
AMZN,2024-02-01,1,long,24.44,10.226472663595136,1.0527487120995689,9.173723951495566,True
AMZN,2024-02-01,3,long,24.44,8.519919930267909,0.9770986435997843,7.542821286668125,True
AMZN,2024-02-01,5,long,24.44,8.962598099910172,1.864265880569169,7.098332219341004,True
AMZN,2024-02-01,10,long,24.44,8.936939995473365,2.6185487275987946,6.318391267874571,True
AMZN,2023-10-26,1,long,58.7,5.8940568450938144,-0.45327678960917483,6.34733363470299,True
AMZN,2023-10-26,3,long,58.7,10.329105005529303,1.3695607777367023,8.959544227792602,True
AMZN,2023-10-26,5,long,58.7,14.457440493978483,4.414041644013257,10.043398849965225,True
AMZN,2023-10-26,10,long,58.7,16.554761920573466,5.160596773991678,11.39416514658179,True
AMZN,2023-08-03,1,long,91.19,9.483843464793559,-0.45227387485355425,9.936117339647113,True
AMZN,2023-08-03,3,long,91.19,9.77408123341955,-0.02005522684334038,9.794136460262889,True
AMZN,2023-08-03,5,long,91.19,8.691554683001598,-0.6527839069369896,9.344338589938587,True
AMZN,2023-08-03,10,long,91.19,5.098832914528581,-2.7960815648680293,7.89491447939661,True
AMZN,2023-04-27,1,long,44.29,-2.505553459792048,0.8534994260815576,-3.3590528858736057,False
AMZN,2023-04-27,3,long,44.29,-4.18824542835917,-0.38070013051675117,-3.8075452978424185,False
AMZN,2023-04-27,5,long,44.29,-3.8461571017556353,-1.7652404048118564,-2.080916696943779,False
AMZN,2023-04-27,10,long,44.29,3.7167127468161247,-0.06792284586035516,3.78463559267648,True
GOOGL,2026-02-04,1,long,6.78,-3.4143922754712763,-1.248921125620177,-2.1654711498510992,False
GOOGL,2026-02-04,3,long,6.78,-5.43503172849759,1.1308860028129,-6.56591773131049,False
GOOGL,2026-02-04,5,long,6.78,-9.330534162963092,0.8408820721737416,-10.171416235136833,False
GOOGL,2026-02-04,10,long,6.78,-11.695236720604575,-0.2492080524677448,-11.44602866813683,False
GOOGL,2025-10-29,1,long,26.88,5.127924036695616,-1.0998144919191382,6.227738528614754,True
GOOGL,2025-10-29,3,long,26.88,5.964516888032208,-0.589180594358104,6.553697482390312,True
GOOGL,2025-10-29,5,long,26.88,6.184872934154386,-1.4271370443403069,7.612009978494692,True
GOOGL,2025-10-29,10,long,26.88,7.081225678664217,-0.5833672815324,7.664592960196617,True
GOOGL,2025-07-23,1,long,5.09,0.3498520201769895,0.033114960935604405,0.3167370592413851,True
GOOGL,2025-07-23,3,long,5.09,0.5639645727187537,0.4304653758431601,0.13349919687559364,True
GOOGL,2025-07-23,5,long,5.09,2.6266276823845467,0.03942349686999563,2.5872041855145507,True
GOOGL,2025-07-23,10,long,5.09,2.3968625766749834,-0.22546707429514243,2.6223296509701255,True
GOOGL,2025-04-24,1,long,40.1,3.7207986966563764,0.7225263975707629,2.9982722990856137,True
GOOGL,2025-04-24,3,long,40.1,2.568062535999003,1.3956595115665993,1.1724030244324033,True
