senator,ticker,owner,trade_date,amount,ret_3d,ret_5d,ret_10d,ret_20d
Ron L Wyden,NFLX,Child,2020-08-20,8000.5,-3.196541582879453,2.727028008469956,3.4916905927748543,-3.747313688112297
Ron L Wyden,NFLX,Child,2020-08-20,8000.5,-3.196541582879453,2.727028008469956,3.4916905927748543,-3.747313688112297
Ron L Wyden,NFLX,Child,2020-08-20,8000.5,-3.196541582879453,2.727028008469956,3.4916905927748543,-3.747313688112297
Ron L Wyden,NVDA,Spouse,2020-08-21,75000.5,-1.6774137993358584,0.3905394884200053,-1.361390607575641,2.018265036603617
Ron L Wyden,UPS,Spouse,2020-08-21,75000.5,-2.464846113782515,-1.1757740075950096,0.19017280566202555,4.575980971138572
Ron L Wyden,FDX,Spouse,2020-08-21,32500.5,0.1253594560935989,2.1509319233649293,6.822535701062016,17.044954958570845
Ron L Wyden,UPS,Spouse,2020-08-19,75000.5,-1.0439335071704914,-3.332918783880312,-2.0185623099468364,0.6789252310424376
Ron L Wyden,NVDA,Spouse,2020-08-19,32500.5,3.1053410712876817,2.1610288001353783,12.155387008617268,3.1203342806716106
Ron L Wyden,KR,Spouse,2020-08-19,32500.5,-2.1289970156226024,-2.651999090998425,-5.020901084250551,-9.830769587440313
Ron L Wyden,FDX,Spouse,2020-08-19,32500.5,2.892285925679472,0.7293204137669873,3.5653261645607337,18.16189098114559
Ron L Wyden,LOW,Spouse,2020-08-18,32500.5,2.1647346853200577,3.45428805701129,2.0077055570744573,5.519634894732972
Ron L Wyden,DHI,Spouse,2020-08-18,32500.5,4.416098805831092,1.019807257579597,-4.367119250851603,1.0754873290243605
Ron L Wyden,UPS,Spouse,2020-08-17,75000.5,-0.577384470479847,-0.8142085790685094,-0.652325595991865,0.740427749868311
Ron L Wyden,UPS,Spouse,2020-08-14,32500.5,-0.3646448939168323,-1.217281748900323,-2.4277604197727287,-0.21952709750174826
Ron L Wyden,PSA,Spouse,2020-08-14,32500.5,-1.51916003278878,2.3674468804495197,2.5129536085177318,12.781248247521315
Ron L Wyden,FDX,Spouse,2020-08-14,32500.5,-0.46096101876157425,0.12229876279743479,2.2967184922357387,13.141272218997923
Ron L Wyden,F,Spouse,2020-08-11,32500.5,-3.841851538523511,-6.457454655455885,-7.412498083046626,-5.6964869823134645
Ron L Wyden,DHI,Spouse,2020-08-11,75000.5,2.1898917772388504,4.763142751974447,5.926498541990677,-0.6084645440178393
Ron L Wyden,AAPL,Spouse,2020-08-07,75000.5,0.8499171216474366,2.7370119891623634,10.464062393908979,6.4715132885397875
Ron L Wyden,WDAY,Spouse,2020-08-05,8000.5,-2.6397606427627007,-4.724646148489908,2.376986240556911,19.192878517667356
Ron L Wyden,PSA,Spouse,2020-08-05,32500.5,1.760606620478966,-0.8890409333351501,-1.3081814100058597,1.0219062934135659
Ron L Wyden,KR,Spouse,2020-08-05,8000.5,-1.212812186344392,-2.972800383491747,2.2182746394435515,-2.8567610302765667
Ron L Wyden,DHI,Spouse,2020-08-05,8000.5,1.3226784269053438,3.3141557520788956,7.455747877016171,-0.3863436906463624
Ron L Wyden,CLX,Spouse,2020-08-05,8000.5,-2.6441454521783703,-5.910001682576993,-5.429380335206502,-13.363946850397312
Ron L Wyden,BYND,Spouse,2020-08-05,32500.5,-5.005974882851416,-8.282126399785861,-7.073393525755822,-9.958692981564909
Ron L Wyden,PSA,Spouse,2020-08-04,75000.5,-2.4241373772950214,-2.016933590271952,-2.818033787337504,-0.8602714197007311
Ron L Wyden,MTCH,Spouse,2020-08-04,8000.5,6.358781989071471,6.54179394300507,4.502817121262637,-1.4000435264583722
Ron L Wyden,KR,Spouse,2020-08-04,8000.5,-1.7902763039441605,-4.023120258649405,0.33766650192124104,-6.277883085418701
Ron L Wyden,KLAC,Spouse,2020-08-04,32500.5,-2.366914978676604,-2.9580204202181215,1.1933358425020524,-4.903655241977867
Ron L Wyden,DIS,Spouse,2020-08-04,32500.5,9.410263817364296,10.423998268599188,7.316052236143599,7.033986875310715
Ron L Wyden,MSFT,Spouse,2020-07-31,75000.5,2.1561173373930265,1.1782883934171373,-1.2631248696031383,4.559231637294703
Ron L Wyden,OSK,Spouse,2020-07-30,32500.5,-3.950726787502623,-3.57469490579021,-2.6647944573840787,-9.665293644422835
Ron L Wyden,NVDA,Spouse,2020-07-30,75000.5,3.899501884589207,3.5966311899786385,3.8377040540489737,11.454768597267662
Ron L Wyden,BYND,Spouse,2020-07-30,32500.5,13.467349171405818,4.307915386660044,-0.9967244664507602,-0.3623031538148247
