ticker,date,h,stk,spy,abn,period,price
TNGX,2023-08-10,5,-0.07589882214241214,-0.020531794057669698,-0.05536702808474245,disc,7.510000228881836
TNGX,2023-08-10,10,-0.055925441210869196,-0.012745411766123796,-0.0431800294447454,disc,7.510000228881836
LUCD,2023-03-13,1,0.029069739235228063,-0.006254338800497873,0.03532407803572594,disc,1.7200000286102295
LUCD,2023-03-13,3,-0.023255860695907783,-0.004441887787897502,-0.01881397290801028,disc,1.7200000286102295
LUCD,2023-03-13,5,-0.10465119986227168,0.01832893185207564,-0.12298013171434732,disc,1.7200000286102295
LUCD,2023-03-13,10,-0.15116278263863658,0.009879240825698616,-0.1610420234643352,disc,1.7200000286102295
REED,2023-05-31,1,0.07666662004258898,0.014461158782416515,0.062205461260172464,disc,18.0
REED,2023-05-31,3,0.06666670905219184,0.01472189878917955,0.05194481026301229,disc,18.0
REED,2023-05-31,5,0.06666670905219184,0.01732966059377821,0.04933704845841363,disc,18.0
REED,2023-05-31,10,0.04333337148030599,0.04926271494591526,-0.00592934346560927,disc,18.0
FCCN,2024-06-21,1,0.2272728028047851,0.009895289711641778,0.21737751309314332,disc,3.299999952316284
FCCN,2024-06-21,3,0.49999996387597234,0.00750239799792567,0.49249756587804666,disc,3.299999952316284
FCCN,2024-06-21,5,0.057575775747238156,0.0162642184668077,0.041311557280430455,disc,3.299999952316284
FCCN,2024-06-21,10,0.19393942853088708,-0.003670213379263618,0.1976096419101507,disc,3.299999952316284
GDC,2022-06-27,1,0.007911473265932297,-0.0008143900264400164,0.008725863292372314,disc,18.959999084472656
GDC,2022-06-27,3,-0.0031645289472360546,0.001549970701040051,-0.004714499648276105,disc,18.959999084472656
