ticker,trans_date,filing_date,lag_days,n_insiders,accept_time,trigger_class,r_trans_5d,r_filing_5d,r_filing_plus1_5d
LCNB,2024-02-12,2024-02-13,1,5,2024-02-13 17:01:09,after_close_same_day,-0.557215620317569,1.9362547452183656,-3.6156791372309627
LGVN,2024-04-11,2024-04-12,1,3,2024-04-12 23:00:29,after_close_same_day,3.0725215702947684,16.68081975464647,-35.239815930186374
LKQ,2024-07-29,2024-07-29,0,4,2024-07-29 14:46:58,intraday_same_day,2.8099327842591255,2.8099327842591255,0.577915602617662
LKQ,2025-08-28,2025-08-29,1,3,2025-08-29 13:25:47,intraday_same_day,0.6619884919690012,-0.6166461842301411,-0.4760759569940547
LODE,2024-05-20,2024-05-20,0,3,2024-05-20 20:19:56,after_close_same_day,-10.297689209659666,-10.297689209659666,0.9898973545239995
LTRX,2025-03-06,2025-03-07,1,4,2025-03-07 08:05:55,pre_open_same_day,-1.3920761285817451,-1.2823674248403525,5.291868344429668
LUCK,2025-12-08,2025-12-09,1,4,2025-12-09 16:36:18,after_close_same_day,6.630293219640758,1.63555868943354,-0.8245754195358788
MAC,2024-05-10,2024-05-10,0,5,2024-05-10 13:40:18,intraday_same_day,1.1358448257039653,1.1358448257039653,-2.5771095547646303
MAGN,2025-05-15,2025-05-15,0,3,2025-05-15 11:03:18,intraday_same_day,-11.15035235641545,-11.15035235641545,-6.245782182025403
MBIN,2024-11-21,2024-11-22,1,4,2024-11-22 13:45:25,intraday_same_day,3.275760489585039,-1.8259193732670198,-4.447726474609082
MBX,2025-02-18,2025-02-19,1,5,2025-02-19 17:56:33,after_close_same_day,-7.545994720671118,-7.873094783304557,-12.840815712631734
MDRR,2024-11-26,2024-11-26,0,3,2024-11-26 17:33:21,after_close_same_day,-1.9667297188994528,-1.9667297188994528,-1.6303748563097171
MEC,2024-11-07,2024-11-08,1,4,2024-11-08 14:38:26,intraday_same_day,4.996688586262229,0.0971118436431806,-1.8078287457514783
MERC,2024-09-16,2024-09-17,1,5,,not_found_no_same_day_filing,-1.6806721571498664,-2.2386735751871565,-3.2001114409810865
MGM,2024-08-05,2024-08-06,1,3,2024-08-06 21:12:00,after_close_same_day,6.3505302898753335,3.987374546778913,-0.33692493074180874
MOFG,2025-08-04,2025-08-05,1,4,,not_found_no_cik,1.207487889852156,4.261442439081766,7.367216399556524
MRAI,2024-01-16,2024-01-17,1,3,2024-01-17 16:01:20,after_close_same_day,90.30046799967265,101.95999762949745,21.925941397020164
