ticker,cluster_date,n_insiders,total_value,window_start,window_end,has_ceo,has_cfo,has_c_suite,titles_in_cluster,roles_in_cluster
MINM,2021-07-29,3,650000.0,2021-07-29,2021-07-29,True,True,True,Chief Financial Officer|Chief Executive Officer,"Director|Director,Officer|Officer"
IEA,2021-07-29,4,140141716.0,2021-07-28,2021-07-29,False,False,False,,"Director,TenPercentOwner"
CADL,2021-07-29,5,14771960.0,2021-07-27,2021-07-29,True,True,True,Chief Executive Officer|Chief Financial Officer,"Director|Director,Officer|Officer"
DALS,2021-07-30,5,62500000.0,2021-07-30,2021-07-30,False,False,False,,"Director,TenPercentOwner|Director,TenPercentOwnerOther|TenPercentOwner"
SNPO,2021-07-30,3,423000.0,2021-07-27,2021-07-30,False,False,False,Chief Operations Officer|Chief Legal Officer,Director|Officer
APPS,2021-07-31,3,327060.0,2021-07-31,2021-07-31,False,False,False,,Director
COOK,2021-08-02,4,3586500.0,2021-08-02,2021-08-02,False,False,False,,Director
ICVX,2021-08-02,7,50420280.0,2021-07-30,2021-08-02,False,False,False,Chief Medical Officer,"Director|Director,TenPercentOwner|Officer|Other|TenPercentOwner"
IMRX,2021-08-03,6,17720130.0,2021-08-03,2021-08-03,False,True,True,"CFO, Treasurer",Director|Officer|Other
HMST,2021-08-03,3,766099.82,2021-08-03,2021-08-03,False,True,True,"EVP, Chief Financial Officer",Director|Officer
OMGA,2021-08-03,4,56987840.0,2021-07-30,2021-08-03,False,False,False,,Director|TenPercentOwner
RXST,2021-08-03,7,15450386.3,2021-08-03,2021-08-03,False,False,False,See Remarks|Chief Commercial Officer,"Director|Director,Officer|Director,TenPercentOwner|Officer"
EWCZ,2021-08-05,3,646000.0,2021-08-05,2021-08-05,False,False,False,Chief Operating Officer|Chief Franchise Officer|Chief Information Officer,Officer
OBT,2021-08-05,4,1122250.0,2021-08-05,2021-08-05,True,False,True,President and CEO,"Director|Director,Officer"
DRTT,2021-08-05,3,8051477.6,2021-07-14,2021-08-05,False,False,False,,Other|TenPercentOwner
PRG,2021-08-09,3,536825.0,2021-08-03,2021-08-09,True,True,True,Chief Financial Officer|CEO,"Director|Director,Officer|Officer"
OSPN,2021-08-09,3,344768.0,2021-08-09,2021-08-09,False,False,False,,Director
GEL,2021-08-09,3,547083.04,2021-08-09,2021-08-09,True,False,True,"President, Genesis Alkali, LLC|Chief Executive Officer","Director|Director,Officer|Officer"
ADGI,2021-08-10,4,101311296.0,2021-08-10,2021-08-10,False,False,False,,"Director|Director,TenPercentOwner|TenPercentOwner"
GPN,2021-08-10,3,800475.02,2021-08-05,2021-08-10,True,False,True,CEO,"Director|Director,Officer"
ROCGU,2021-08-10,5,4253640.0,2021-08-10,2021-08-10,True,True,True,Co-Chief Operating Officer|Co-Chief Executive Officer|Chief Financial Officer|Co-CEO & Chairman of the Board|Co-President,"Director,Officer|Officer"
HFC,2021-08-10,3,754445.0,2021-08-10,2021-08-10,True,False,True,CEO and President,"Director|Director,Officer"
REYN,2021-08-10,3,278901.0,2021-08-05,2021-08-10,True,True,True,"VP, Controller & CAO|Chief Financial Officer|President and CEO","Director,Officer|Officer"
DNB,2021-08-10,3,2255589.74,2021-08-09,2021-08-10,True,True,True,Chief Executive Officer|Chief Financial Officer|Chief Legal Officer,"Director,Officer|Officer"
KPLT,2021-08-11,5,409590.0,2021-08-11,2021-08-11,True,True,True,Chief Executive Officer|Chief Operating Officer|Chief Financial Officer,Director|Officer
ENVX,2021-08-12,3,30366498.0,2021-07-14,2021-08-12,False,True,True,See Remarks|Chief Financial Officer,Officer|TenPercentOwner
CTO,2021-08-12,3,271590.0,2021-08-12,2021-08-12,False,True,True,"SR. VP, CFO & TREASURER",Director|Officer
FSK,2021-08-12,3,1088491.06,2021-08-11,2021-08-12,False,False,False,Co-President and CIO,Director|Officer
