ticker,cluster_date,n_insiders,total_value,window_start,window_end
ALTG,2024-01-17,5,3215886.4,2024-01-17,2024-01-17
PSBD,2024-01-17,4,12999974.4,2024-01-17,2024-01-17
CODI,2024-01-18,7,746241.88,2024-01-18,2024-01-18
VRDN,2024-01-22,5,49999950.0,2024-01-22,2024-01-22
CALC,2024-01-23,8,19603488.0,2024-01-23,2024-01-23
PAYS,2024-01-23,3,770185.56,2024-01-23,2024-01-23
EWTX,2024-01-23,5,20100950.1,2023-12-26,2024-01-23
ACET,2024-01-25,9,67500000.0,2024-01-25,2024-01-25
CRBP,2024-01-26,3,27335822.22,2024-01-26,2024-01-26
EXFY,2024-01-26,4,1380375.04,2024-01-26,2024-01-26
RLMD,2024-01-29,3,556581.71,2024-01-29,2024-01-29
COLB,2024-01-29,3,325606.1,2024-01-29,2024-01-29
CGON,2024-01-29,6,80999983.0,2024-01-29,2024-01-29
AVBP,2024-01-30,8,67999932.0,2024-01-30,2024-01-30
DCOM,2024-01-30,7,4357948.0,2024-01-30,2024-01-30
RMCF,2024-01-31,8,3934234.16,2024-01-31,2024-01-31
SKYE,2024-01-31,8,96208247.52,2024-01-31,2024-01-31
EPSN,2024-02-01,3,2934878.2,2024-01-30,2024-02-01
ATXS,2024-02-01,4,119998086.0,2024-02-01,2024-02-01
BHRB,2024-02-01,3,501041.5,2024-01-30,2024-02-01
SFBC,2024-02-01,6,304902.0,2024-02-01,2024-02-01
RXO,2024-02-02,6,90812016.0,2024-02-02,2024-02-02
WOLF,2024-02-02,3,1027807.5,2024-02-02,2024-02-02
MNKTQ,2024-02-02,3,2253000.0,2024-02-02,2024-02-02
CRMT,2024-02-05,3,7494316.74,2024-02-05,2024-02-05
GUTS,2024-02-06,11,58999935.0,2024-02-06,2024-02-06
ANRO,2024-02-06,6,38722000.0,2024-02-06,2024-02-06
LCTX,2024-02-06,3,21000002.4,2024-02-06,2024-02-06
JSPR,2024-02-08,19,65397500.0,2024-02-08,2024-02-08
SANA,2024-02-08,15,149999932.5,2024-02-08,2024-02-08
BERY,2024-02-09,3,284710.0,2024-02-08,2024-02-09
PEPG,2024-02-09,5,136063947.6,2024-02-09,2024-02-09
PTWO,2024-02-09,4,2076233.6,2024-02-09,2024-02-09
MRCY,2024-02-09,5,37868848.01,2024-02-09,2024-02-09
PLCE,2024-02-09,6,183484604.52,2024-02-09,2024-02-09
EG,2024-02-09,4,947979.55,2024-02-09,2024-02-09
PMNT,2024-02-12,3,500400.0,2024-02-12,2024-02-12
TNYA,2024-02-12,7,69999993.0,2024-02-12,2024-02-12
KYTX,2024-02-12,13,121444664.0,2024-02-12,2024-02-12
USCB,2024-02-13,3,335400.0,2024-02-13,2024-02-13
RM,2024-02-14,7,1963226.3,2024-02-14,2024-02-14
PRME,2024-02-15,12,240000000.0,2024-02-15,2024-02-15
HLGN,2024-02-15,4,2689171.84,2024-02-15,2024-02-15
GTES,2024-02-16,3,12948897.0,2024-02-16,2024-02-16
MODD,2024-02-16,5,8910000.0,2024-02-16,2024-02-16
LRMR,2024-02-16,11,375499923.72,2024-02-16,2024-02-16
IOVA,2024-02-20,3,48330300.0,2024-02-20,2024-02-20
FCNCA,2024-02-20,3,2656276.7,2024-02-20,2024-02-20
CART,2024-02-20,26,1614313406.44,2024-02-20,2024-02-20
TTSH,2024-02-22,3,4973962.0,2024-01-23,2024-02-22
HTLD,2024-02-22,4,740079.48,2024-02-22,2024-02-22
GSHD,2024-02-26,3,542448.52,2024-02-26,2024-02-26
VFC,2024-02-26,3,1514282.36,2024-02-09,2024-02-26
BNL,2024-02-26,4,427270.0,2024-02-26,2024-02-26
BCOV,2024-02-27,3,167064.0,2024-02-23,2024-02-27
GEG,2024-02-27,4,921600.0,2024-02-27,2024-02-27
RIG,2024-02-27,3,14670000.0,2024-02-27,2024-02-27
WES,2024-02-28,3,557385.0,2024-02-26,2024-02-28
MDRX,2024-02-28,10,1122025500.0,2024-02-28,2024-02-28
AMN,2024-02-28,3,1542325.26,2024-02-27,2024-02-28
ADC,2024-02-29,3,3501850.0,2024-02-15,2024-02-29
CTRN,2024-02-29,3,13108191.54,2024-02-29,2024-02-29
ETNB,2024-03-04,5,103612500.0,2024-03-04,2024-03-04
ACHR,2024-03-04,6,93757071.36,2024-03-04,2024-03-04
WGS,2024-03-04,5,1748000.0,2024-03-04,2024-03-04
LAB,2024-03-04,9,5782500.0,2024-03-04,2024-03-04
BH,2024-03-04,3,1257512.4,2024-03-04,2024-03-04
TPL,2024-03-04,3,880018.4,2024-02-22,2024-03-04
KDP,2024-03-05,4,17499954.3,2024-03-04,2024-03-05
PRGO,2024-03-05,3,475227.4,2024-02-29,2024-03-05
PX,2024-03-05,6,598500.0,2024-03-05,2024-03-05
ENV,2024-03-06,4,6505204.04,2024-03-06,2024-03-06
STHO,2024-03-06,5,558885.35,2024-03-06,2024-03-06
CRBP,2024-03-07,3,69982678.8,2024-03-07,2024-03-07
LSEA,2024-03-08,4,1347989.6,2024-03-08,2024-03-08
ELAN,2024-03-08,3,617799.0,2024-03-06,2024-03-08
GENK,2024-03-11,4,2414091.76,2024-03-11,2024-03-11
SKYE,2024-03-13,8,36000000.0,2024-03-13,2024-03-13
QRHC,2024-03-13,8,1697579.52,2024-03-13,2024-03-13
HFUS,2024-03-13,3,389480.0,2024-03-12,2024-03-13
MAIA,2024-03-14,3,481059.54,2024-03-14,2024-03-14
MCFT,2024-03-14,5,16254533.9,2024-03-14,2024-03-14
BTSG,2024-03-14,3,808029.6,2024-03-14,2024-03-14
CORZ,2024-03-15,4,1188218.0,2024-03-15,2024-03-15
STKS,2024-03-15,4,4115438.72,2024-03-15,2024-03-15
AMR,2024-03-15,6,26407733.04,2024-03-15,2024-03-15
ISDR,2024-03-15,3,374778.6,2024-03-15,2024-03-15
AAOI,2024-03-18,3,802433.8,2024-02-27,2024-03-18
RMAX,2024-03-18,3,1237680.0,2024-03-18,2024-03-18
NBBK,2024-03-19,3,644725.0,2024-03-01,2024-03-19
TISI,2024-03-19,4,1166611.28,2024-03-19,2024-03-19
XIVYX,2024-03-19,3,1849999.99,2024-03-05,2024-03-19
IMRX,2024-03-19,3,346870.89,2024-03-18,2024-03-19
FEIM,2024-03-20,3,298200.0,2024-03-20,2024-03-20
LILA,2024-03-20,3,8767220.14,2024-02-26,2024-03-20
BRT,2024-03-21,3,671755.38,2024-03-18,2024-03-21
TSVT,2024-03-21,4,15590680.96,2024-03-21,2024-03-21
LENZ,2024-03-21,5,75000376.35,2024-03-21,2024-03-21
ALAB,2024-03-22,3,1322892.0,2024-03-22,2024-03-22
SPRY,2024-03-25,5,66447052.05,2024-03-25,2024-03-25
CRK,2024-03-25,4,402000000.0,2024-03-25,2024-03-25
IGMS,2024-03-26,6,20422746.06,2024-03-26,2024-03-26
NKTX,2024-03-27,6,170000000.0,2024-03-27,2024-03-27
SOWG,2024-03-28,5,1067519.0,2024-03-28,2024-03-28
CWEN,2024-03-28,11,49528567.44,2024-03-28,2024-03-28
FSBC,2024-03-28,5,5450006.25,2024-03-28,2024-03-28
ALDX,2024-04-01,3,5721869.01,2024-04-01,2024-04-01
SPG,2024-04-01,3,182073.85,2024-03-31,2024-04-01
BOLD,2024-04-02,18,66600000.0,2024-04-02,2024-04-02
ALTI,2024-04-02,3,541350.0,2024-04-02,2024-04-02
HLVX,2024-04-04,5,641625.0,2024-04-04,2024-04-04
PGY,2024-04-04,4,1667448.8,2024-04-03,2024-04-04
SRZN,2024-04-04,4,23999952.0,2024-04-04,2024-04-04
TKO,2024-04-09,7,1023685317.9,2024-04-09,2024-04-09
RYES,2024-04-09,3,2430000.0,2024-04-09,2024-04-09
STCN,2024-04-10,8,3118814.16,2024-04-10,2024-04-10
OCX,2024-04-11,4,21299199.1,2024-04-11,2024-04-11
ACRV,2024-04-11,3,60001500.0,2024-04-11,2024-04-11
NEOG,2024-04-11,3,538605.0,2024-04-10,2024-04-11
RXO,2024-04-12,6,4994405.46,2024-04-12,2024-04-12
EXFY,2024-04-15,4,1866934.0,2024-04-15,2024-04-15
BRN,2024-04-15,3,569110.5,2024-04-15,2024-04-15
ULS,2024-04-16,19,16453780.0,2024-04-16,2024-04-16
SNDA,2024-04-18,3,5186940.17,2024-03-22,2024-04-18
ASGI,2024-04-18,3,6321511.51,2024-03-19,2024-04-18
EYPT,2024-04-18,3,31468338.54,2024-04-18,2024-04-18
INMB,2024-04-19,4,666282.24,2024-04-19,2024-04-19
CTRI,2024-04-22,8,2880150.0,2024-04-22,2024-04-22
BHVN,2024-04-22,3,17999902.0,2024-04-22,2024-04-22
KRRO,2024-04-22,14,13999888.0,2024-04-22,2024-04-22
GL,2024-04-24,3,377317.98,2024-04-24,2024-04-24
ACDC,2024-04-25,6,83726825.4,2024-04-25,2024-04-25
HXL,2024-04-26,3,1863210.0,2024-04-25,2024-04-26
HTLD,2024-04-26,5,13079500.64,2024-04-26,2024-04-26
LOAR,2024-04-29,3,6000036.0,2024-04-29,2024-04-29
SAMG,2024-04-30,6,692420.4,2024-04-30,2024-04-30
TBBK,2024-05-06,3,784343.53,2024-05-01,2024-05-06
VSTS,2024-05-06,4,69946153.28,2024-05-03,2024-05-06
RM,2024-05-06,8,16805768.72,2024-05-06,2024-05-06
MAC,2024-05-08,3,2185369.65,2024-05-06,2024-05-08
CNMD,2024-05-08,3,446732.92,2024-04-30,2024-05-08
SABR,2024-05-08,3,368650.0,2024-05-03,2024-05-08
PCSZX,2024-05-09,4,1087294.11,2024-04-30,2024-05-09
MNKTQ,2024-05-09,3,78900000.0,2024-05-09,2024-05-09
ZONE,2024-05-10,3,1311500.0,2024-04-26,2024-05-10
TMCI,2024-05-10,5,3653297.62,2024-05-10,2024-05-10
ISDR,2024-05-10,3,1522798.38,2024-05-10,2024-05-10
WGS,2024-05-13,5,5827500.0,2024-05-13,2024-05-13
PAL,2024-05-13,3,360000.0,2024-05-13,2024-05-13
BCRX,2024-05-13,3,451050.6,2024-05-13,2024-05-13
OPOF,2024-05-14,3,743978.25,2024-05-14,2024-05-14
OUST,2024-05-15,3,418000.0,2024-05-15,2024-05-15
RIG,2024-05-15,3,36060000.0,2024-05-15,2024-05-15
LAB,2024-05-15,9,31106738.88,2024-05-15,2024-05-15
AVD,2024-05-16,3,810150.0,2024-05-15,2024-05-16
ZURA,2024-05-17,3,4710998.85,2024-04-22,2024-05-17
APEI,2024-05-17,6,49509396.9,2024-05-17,2024-05-17
BATRA,2024-05-22,4,499560.0,2024-05-22,2024-05-22
LUXH,2024-05-23,3,1800000.0,2024-05-23,2024-05-23
EVBN,2024-05-23,3,231102.0,2024-05-23,2024-05-23
SUN,2024-05-24,3,502220.0,2024-05-23,2024-05-24
AXS,2024-05-28,3,444350.5,2024-05-06,2024-05-28
CODI,2024-05-28,5,850593.96,2024-05-28,2024-05-28
GL,2024-05-28,3,879295.0,2024-05-16,2024-05-28
BOW,2024-05-28,4,1804458.0,2024-05-28,2024-05-28
CMTG,2024-05-28,3,1312450.0,2024-05-24,2024-05-28
NSC,2024-05-29,3,1619093.6,2024-05-29,2024-05-29
CRGX,2024-05-30,3,14994000.0,2024-05-30,2024-05-30
LEG,2024-05-31,3,581064.0,2024-05-02,2024-05-31
CRM,2024-06-03,8,798374080.0,2024-06-03,2024-06-03
ALTI,2024-06-04,4,1663473.43,2024-05-14,2024-06-04
BOC,2024-06-05,5,3529387.96,2024-05-22,2024-06-05
UHG,2024-06-07,3,9796590.0,2024-06-07,2024-06-07
STCN,2024-06-10,8,3933985.92,2024-06-10,2024-06-10
PYYX,2024-06-11,5,3854076.8,2024-06-11,2024-06-11
NFBK,2024-06-12,5,443421.16,2024-06-10,2024-06-12
LGF,2024-06-12,7,39605056.19,2024-06-12,2024-06-12
MPAA,2024-06-13,3,2622000.0,2024-06-13,2024-06-13
PROK,2024-06-13,3,129470677.6,2024-06-11,2024-06-13
CLF,2024-06-13,4,614160.5,2024-06-12,2024-06-13
GDNSF,2024-06-14,6,4212252.72,2024-06-14,2024-06-14
RGEN,2024-06-14,3,600476.1,2024-06-14,2024-06-14
AVTE,2024-06-17,5,7749718.5,2024-06-17,2024-06-17
SPMC,2024-06-17,3,2100040.0,2024-06-17,2024-06-17
IRON,2024-06-17,6,23000148.0,2024-06-17,2024-06-17
ATLN,2024-06-18,4,17628997.04,2024-06-18,2024-06-18
PFBX,2024-06-18,6,547245.0,2024-06-10,2024-06-18
RMAX,2024-06-18,3,1461302.1,2024-06-18,2024-06-18
CRMT,2024-06-18,3,4574740.2,2024-06-18,2024-06-18
EXFY,2024-06-20,4,725578.68,2024-06-20,2024-06-20
TPIC,2024-06-21,4,51261041.88,2024-06-21,2024-06-21
BATRA,2024-06-24,4,319680.0,2024-06-24,2024-06-24
CLIR,2024-06-24,4,12194000.0,2024-06-24,2024-06-24
VCRDX,2024-06-26,3,26499970.06,2024-05-28,2024-06-26
TLYS,2024-06-27,3,4779286.98,2024-06-27,2024-06-27
ELYM,2024-06-27,7,349669716.48,2024-06-27,2024-06-27
SPG,2024-06-28,4,239370.98,2024-06-28,2024-06-28
DMAC,2024-06-28,5,15000000.0,2024-06-28,2024-06-28
TBN,2024-06-28,9,37887600.0,2024-06-28,2024-06-28
ADCT,2024-07-01,3,6744000.0,2024-07-01,2024-07-01
ALMS,2024-07-01,13,505000000.0,2024-07-01,2024-07-01
ACHR,2024-07-01,6,329925860.88,2024-07-01,2024-07-01
APPN,2024-07-05,6,113650968.24,2024-07-05,2024-07-05
NXDT,2024-07-08,3,1125959.78,2024-06-20,2024-07-08
BNED,2024-07-08,3,11652818.6,2024-06-10,2024-07-08
CULP,2024-07-08,5,1485265.0,2024-07-08,2024-07-08
DOUG,2024-07-08,3,356668.27,2024-07-05,2024-07-08
PTWO,2024-07-09,4,327444.0,2024-07-09,2024-07-09
ALTG,2024-07-10,3,4332848.1,2024-07-10,2024-07-10
SUNS,2024-07-11,3,1735063.62,2024-07-10,2024-07-11
TKNO,2024-07-12,5,60099993.88,2024-07-12,2024-07-12
SSKN,2024-07-15,6,3679970.1,2024-07-15,2024-07-15
NYC,2024-07-16,6,8250000.0,2024-07-16,2024-07-16
IVFH,2024-07-17,6,8830018.8,2024-07-17,2024-07-17
TWFG,2024-07-17,5,13879837.0,2024-07-17,2024-07-17
NUZE,2024-07-18,5,3879322.65,2024-07-18,2024-07-18
ARTV,2024-07-22,20,759999864.0,2024-07-22,2024-07-22
EVBN,2024-07-23,3,657512.4,2024-07-23,2024-07-23
COFS,2024-07-25,8,1250000.0,2024-07-25,2024-07-25
LINE,2024-07-26,3,1123200.0,2024-07-26,2024-07-26
NEXT,2024-07-29,7,613772722.5,2024-07-29,2024-07-29
LKQ,2024-07-29,4,600570.0,2024-07-26,2024-07-29
HITC,2024-07-31,3,2630235.46,2024-07-31,2024-07-31
ONEW,2024-08-01,6,2007900.0,2024-08-01,2024-08-01
