ticker,cluster_date,n_insiders,total_value,window_start,window_end,year
HTLD,2024-02-22,4,740079.48,2024-02-22,2024-02-22,2024
BNL,2024-02-26,4,427270.0,2024-02-26,2024-02-26,2024
GSHD,2024-02-26,3,542448.52,2024-02-26,2024-02-26,2024
RIG,2024-02-27,3,14670000.0,2024-02-27,2024-02-27,2024
AMN,2024-02-28,3,1542325.26,2024-02-27,2024-02-28,2024
MDRX,2024-02-28,10,1122025500.0,2024-02-28,2024-02-28,2024
BH,2024-03-04,3,1257512.4,2024-03-04,2024-03-04,2024
ACHR,2024-03-04,6,93757071.36,2024-03-04,2024-03-04,2024
WGS,2024-03-04,5,1748000.0,2024-03-04,2024-03-04,2024
PX,2024-03-05,6,598500.0,2024-03-05,2024-03-05,2024
ELAN,2024-03-08,3,617799.0,2024-03-06,2024-03-08,2024
BTSG,2024-03-14,3,808029.6,2024-03-14,2024-03-14,2024
AMR,2024-03-15,6,26407733.04,2024-03-15,2024-03-15,2024
CORZ,2024-03-15,4,1188218.0,2024-03-15,2024-03-15,2024
AAOI,2024-03-18,3,802433.8,2024-02-27,2024-03-18,2024
LILA,2024-03-20,3,8767220.14,2024-02-26,2024-03-20,2024
ALAB,2024-03-22,3,1322892.0,2024-03-22,2024-03-22,2024
SPRY,2024-03-25,5,66447052.05,2024-03-25,2024-03-25,2024
CRK,2024-03-25,4,402000000.0,2024-03-25,2024-03-25,2024
FSBC,2024-03-28,5,5450006.25,2024-03-28,2024-03-28,2024
CWEN,2024-03-28,11,49528567.44,2024-03-28,2024-03-28,2024
PGY,2024-04-04,4,1667448.8,2024-04-03,2024-04-04,2024
TKO,2024-04-09,7,1023685317.9,2024-04-09,2024-04-09,2024
RXO,2024-04-12,6,4994405.46,2024-04-12,2024-04-12,2024
ULS,2024-04-16,19,16453780.0,2024-04-16,2024-04-16,2024
EYPT,2024-04-18,3,31468338.54,2024-04-18,2024-04-18,2024
BHVN,2024-04-22,3,14999932.0,2024-04-22,2024-04-22,2024
CTRI,2024-04-22,8,2880150.0,2024-04-22,2024-04-22,2024
GL,2024-04-24,3,377317.98,2024-04-24,2024-04-24,2024
ACDC,2024-04-25,6,83726825.4,2024-04-25,2024-04-25,2024
HTLD,2024-04-26,5,13079500.64,2024-04-26,2024-04-26,2024
HXL,2024-04-26,3,1863210.0,2024-04-25,2024-04-26,2024
LOAR,2024-04-29,3,6000036.0,2024-04-29,2024-04-29,2024
SABR,2024-05-08,3,368650.0,2024-05-03,2024-05-08,2024
BCRX,2024-05-13,3,451050.6,2024-05-13,2024-05-13,2024
WGS,2024-05-13,5,5827500.0,2024-05-13,2024-05-13,2024
OUST,2024-05-15,3,418000.0,2024-05-15,2024-05-15,2024
RIG,2024-05-15,3,36060000.0,2024-05-15,2024-05-15,2024
APEI,2024-05-17,6,49509396.9,2024-05-17,2024-05-17,2024
BATRA,2024-05-22,4,499560.0,2024-05-22,2024-05-22,2024
SUN,2024-05-24,3,502220.0,2024-05-23,2024-05-24,2024
BOW,2024-05-28,4,1804458.0,2024-05-28,2024-05-28,2024
NSC,2024-05-29,3,1619093.6,2024-05-29,2024-05-29,2024
CRM,2024-06-03,8,798374080.0,2024-06-03,2024-06-03,2024
PROK,2024-06-13,3,129470677.6,2024-06-11,2024-06-13,2024
RGEN,2024-06-14,3,600476.1,2024-06-14,2024-06-14,2024
IRON,2024-06-17,6,23000148.0,2024-06-17,2024-06-17,2024
BATRA,2024-06-24,4,319680.0,2024-06-24,2024-06-24,2024
SPG,2024-06-28,4,239370.98,2024-06-28,2024-06-28,2024
TBN,2024-06-28,9,37887600.0,2024-06-28,2024-06-28,2024
ALMS,2024-07-01,13,505000000.0,2024-07-01,2024-07-01,2024
ACHR,2024-07-01,6,329925860.88,2024-07-01,2024-07-01,2024
APPN,2024-07-05,6,113650968.24,2024-07-05,2024-07-05,2024
LINE,2024-07-26,3,1123200.0,2024-07-26,2024-07-26,2024
NEXT,2024-07-29,7,613772722.5,2024-07-29,2024-07-29,2024
RIG,2024-08-02,3,31380000.0,2024-08-02,2024-08-02,2024
MGM,2024-08-05,3,7312197.0,2024-08-05,2024-08-05,2024
CRK,2024-08-05,4,84111100.32,2024-08-05,2024-08-05,2024
HTGC,2024-08-06,5,471148.55,2024-08-06,2024-08-06,2024
ACHR,2024-08-08,6,59939988.9,2024-08-08,2024-08-08,2024
GT,2024-08-09,3,771394.4,2024-08-06,2024-08-09,2024
MGTX,2024-08-12,3,15000000.0,2024-08-12,2024-08-12,2024
RXO,2024-08-12,6,1244953380.6,2024-08-12,2024-08-12,2024
ACDC,2024-08-13,3,8535711.69,2024-08-13,2024-08-13,2024
APEI,2024-08-14,6,7259199.6,2024-08-14,2024-08-14,2024
GBDC,2024-08-16,3,1599895.0,2024-08-08,2024-08-16,2024
TBN,2024-08-30,3,749912.64,2024-08-30,2024-08-30,2024
HR,2024-09-05,3,865680.75,2024-08-12,2024-09-05,2024
MTDR,2024-09-06,4,311175.0,2024-08-16,2024-09-06,2024
BTSG,2024-09-11,12,1551966932.88,2024-09-11,2024-09-11,2024
CGNT,2024-09-11,3,18342633.63,2024-09-11,2024-09-11,2024
ZBIO,2024-09-12,5,48280000.0,2024-09-12,2024-09-12,2024
RIG,2024-09-12,3,18585000.0,2024-09-12,2024-09-12,2024
PCT,2024-09-13,3,60000009.51,2024-09-13,2024-09-13,2024
PI,2024-09-13,3,60000009.51,2024-09-13,2024-09-13,2024
VRDN,2024-09-13,3,90000000.0,2024-09-13,2024-09-13,2024
MBX,2024-09-16,22,206000000.0,2024-09-16,2024-09-16,2024
BCAX,2024-09-16,5,164970000.0,2024-09-16,2024-09-16,2024
GDOT,2024-09-23,3,7151535.6,2024-09-23,2024-09-23,2024
AHH,2024-09-26,4,3099988.5,2024-09-26,2024-09-26,2024
IBTA,2024-09-27,3,3479519.58,2024-09-27,2024-09-27,2024
BKV,2024-09-27,4,1674000.0,2024-09-27,2024-09-27,2024
MOFG,2024-09-30,8,681000.0,2024-09-30,2024-09-30,2024
BATRA,2024-09-30,4,336800.0,2024-09-30,2024-09-30,2024
SPG,2024-09-30,4,248607.8,2024-09-30,2024-09-30,2024
BHVN,2024-10-02,3,2220890.0,2024-09-24,2024-10-02,2024
SNDA,2024-10-10,8,6632690.48,2024-10-10,2024-10-10,2024
CBLL,2024-10-15,5,29891202.0,2024-10-11,2024-10-15,2024
DRUG,2024-10-15,3,9558815.88,2024-10-15,2024-10-15,2024
JANX,2024-10-18,5,268500000.0,2024-10-18,2024-10-18,2024
NRDS,2024-10-21,3,15827923.05,2024-10-21,2024-10-21,2024
INGM,2024-10-23,5,7036700.0,2024-10-23,2024-10-23,2024
SEPN,2024-10-28,11,445500000.0,2024-10-28,2024-10-28,2024
UMAC,2024-10-30,3,249998.96,2024-10-30,2024-10-30,2024
MPB,2024-11-01,5,1090497.0,2024-11-01,2024-11-01,2024
AIN,2024-11-05,3,245967.0,2024-11-05,2024-11-05,2024
UAN,2024-11-06,3,11475680.1,2024-11-06,2024-11-06,2024
TYRA,2024-11-08,6,99332331.25,2024-10-30,2024-11-08,2024
GDOT,2024-11-08,3,5823373.5,2024-11-08,2024-11-08,2024
OSCR,2024-11-11,5,72164260.9,2024-11-11,2024-11-11,2024
DCOM,2024-11-12,3,2784000.0,2024-11-12,2024-11-12,2024
BH,2024-11-12,3,17315442.57,2024-11-12,2024-11-12,2024
GRBK,2024-11-13,4,281387972.32,2024-11-13,2024-11-13,2024
WSC,2024-11-15,4,878500.0,2024-11-04,2024-11-15,2024
HTLD,2024-11-18,5,3736080.65,2024-11-04,2024-11-18,2024
ZETA,2024-11-18,7,4211155.48,2024-11-18,2024-11-18,2024
WOLF,2024-11-20,4,816943.68,2024-11-20,2024-11-20,2024
PX,2024-11-20,6,819000.0,2024-11-20,2024-11-20,2024
IMNM,2024-11-21,3,1310007.72,2024-11-21,2024-11-21,2024
MNR,2024-12-10,3,15121612.74,2024-12-10,2024-12-10,2024
TKO,2024-12-11,7,336858260.2,2024-12-11,2024-12-11,2024
ACHR,2024-12-11,7,30101153.54,2024-11-19,2024-12-11,2024
FISI,2024-12-13,11,770000.0,2024-12-13,2024-12-13,2024
CNC,2024-12-16,3,988603.93,2024-12-13,2024-12-16,2024
STAA,2024-12-16,3,5842534.2,2024-12-16,2024-12-16,2024
