ticker,cluster_date,n_insiders,total_value,window_start,window_end,spy_5d_prior,spy_10d_prior,vix
MACK,2022-01-12,6,2190480.0,2022-01-12,2022-01-12,0.5636499224737026,-1.352935660621881,17.6200008392334
SHAPU,2022-01-13,3,28371450.0,2022-01-13,2022-01-13,-0.7287183269683023,-2.4424538841606966,20.309999465942383
THRX,2022-01-13,4,1708217.68,2022-01-13,2022-01-13,-0.7287183269683023,-2.4424538841606966,20.309999465942383
CINC,2022-01-13,28,481160000.0,2022-01-13,2022-01-13,-0.7287183269683023,-2.4424538841606966,20.309999465942383
LNDC,2022-01-14,9,32351776.0,2022-01-14,2022-01-14,-0.29393663464937464,-2.1559414038163274,19.190000534057617
KIRK,2022-01-14,6,13593900.0,2022-01-14,2022-01-14,-0.29393663464937464,-2.1559414038163274,19.190000534057617
NSTS,2022-01-19,8,2075000.0,2022-01-19,2022-01-19,-3.8318156568894723,-5.402575964282881,23.850000381469727
DAWN,2022-01-20,4,6207604.36,2022-01-20,2022-01-20,-5.152645069478404,-4.618038026944162,25.59000015258789
RPTX,2022-01-21,10,140712501.0,2022-01-21,2022-01-21,-5.715472003378437,-6.402540638385378,28.850000381469727
KOD,2022-01-25,6,172846044.06,2022-01-25,2022-01-25,-4.82376022410107,-6.667955560676539,31.15999984741211
APPN,2022-01-26,5,8878573.9,2022-01-26,2022-01-26,-4.0664175687972515,-7.7424156006110465,31.959999084472656
KYMR,2022-01-26,10,102996819.2,2022-01-26,2022-01-26,-4.0664175687972515,-7.7424156006110465,31.959999084472656
SKYH,2022-01-27,4,180000000.0,2022-01-27,2022-01-27,-3.4717628530498743,-8.445520305056622,30.489999771118164
TACT,2022-01-31,4,264026.08,2022-01-31,2022-01-31,2.289458174730855,-3.1868870681588493,24.829999923706055
SIMP,2022-01-31,3,41904455841924.0,2022-01-31,2022-01-31,2.289458174730855,-3.1868870681588493,24.829999923706055
SRRA,2022-01-31,8,172800000.0,2022-01-31,2022-01-31,2.289458174730855,-3.1868870681588493,24.829999923706055
VCNX,2022-01-31,4,10099995.45,2022-01-31,2022-01-31,2.289458174730855,-3.1868870681588493,24.829999923706055
