ticker,cluster_date,n_insiders,total_value,window_start,window_end,year,sector
DAWN,2023-10-18,4,59919969.84,2023-10-18,2023-10-18,2023,Healthcare
BLFS,2023-10-19,4,41499905.4,2023-10-19,2023-10-19,2023,Healthcare
ARQT,2023-10-24,5,1000000.0,2023-10-24,2023-10-24,2023,Healthcare
NTRS,2023-10-24,3,1711192.5,2023-10-23,2023-10-24,2023,Financial Services
CFFN,2023-10-27,3,258192.98,2023-10-27,2023-10-27,2023,Financial Services
LC,2023-10-31,12,623100.0,2023-10-31,2023-10-31,2023,Financial Services
TEX,2023-10-31,3,437369.3,2023-10-27,2023-10-31,2023,Industrials
KYMR,2023-11-02,10,53005907.7,2023-11-02,2023-11-02,2023,Healthcare
BALY,2023-11-03,4,530170.0,2023-11-03,2023-11-03,2023,Consumer Cyclical
MKL,2023-11-03,3,297468.72,2023-11-03,2023-11-03,2023,Financial Services
AEVA,2023-11-09,3,43143346.98,2023-11-09,2023-11-09,2023,Technology
TXO,2023-11-10,4,8581564.0,2023-11-10,2023-11-10,2023,Energy
RXO,2023-11-13,7,19910072.98,2023-11-09,2023-11-13,2023,Industrials
MDGL,2023-11-13,6,93471062.52,2023-11-13,2023-11-13,2023,Healthcare
JANX,2023-11-13,5,24943214.9,2023-11-13,2023-11-13,2023,Healthcare
TKO,2023-11-14,5,2849817.6,2023-11-14,2023-11-14,2023,Communication Services
BW,2023-11-14,5,790077.12,2023-11-14,2023-11-14,2023,Industrials
PCT,2023-11-14,3,438094.32,2023-11-10,2023-11-14,2023,Industrials
HG,2023-11-14,6,15249990.0,2023-11-14,2023-11-14,2023,Financial Services
HTLD,2023-11-27,5,2881063.72,2023-11-20,2023-11-27,2023,Industrials
KYN,2023-11-28,5,18023388.44,2023-11-28,2023-11-28,2023,Financial Services
EYPT,2023-12-04,3,125622451.65,2023-12-04,2023-12-04,2023,Healthcare
OLMA,2023-12-06,4,4640000.0,2023-12-06,2023-12-06,2023,Healthcare
WVE,2023-12-11,4,20000000.0,2023-12-11,2023-12-11,2023,Healthcare
BH,2023-12-11,3,6395021.79,2023-12-11,2023-12-11,2023,Consumer Cyclical
WBD,2023-12-14,4,499600000.0,2023-12-14,2023-12-14,2023,Communication Services
LQDA,2023-12-14,4,18999997.96,2023-12-14,2023-12-14,2023,Healthcare
DLTR,2023-12-19,3,297845630.79,2023-12-19,2023-12-19,2023,Consumer Defensive
ATXS,2023-12-21,4,18352000.0,2023-12-21,2023-12-21,2023,Healthcare
SNDA,2023-12-21,3,8058900.0,2023-12-21,2023-12-21,2023,Healthcare
KALV,2023-12-27,7,45259549.65,2023-12-27,2023-12-27,2023,Healthcare
KALV,2024-01-03,7,5043801.28,2024-01-03,2024-01-03,2024,Healthcare
STAA,2024-01-03,3,19438605.21,2024-01-03,2024-01-03,2024,Healthcare
OPK,2024-01-04,3,2830508.7,2024-01-04,2024-01-04,2024,Healthcare
EYPT,2024-01-09,3,51153300.0,2024-01-09,2024-01-09,2024,Healthcare
SLDB,2024-01-11,9,100444995.56,2024-01-11,2024-01-11,2024,Healthcare
VRDN,2024-01-22,5,49999950.0,2024-01-22,2024-01-22,2024,Healthcare
EWTX,2024-01-23,4,19999980.0,2024-01-23,2024-01-23,2024,Healthcare
CGON,2024-01-29,6,80999983.0,2024-01-29,2024-01-29,2024,Healthcare
COLB,2024-01-29,3,325606.1,2024-01-29,2024-01-29,2024,Financial Services
DCOM,2024-01-30,7,4357948.0,2024-01-30,2024-01-30,2024,Financial Services
AVBP,2024-01-30,8,67999932.0,2024-01-30,2024-01-30,2024,Healthcare
ATXS,2024-02-01,4,119998086.0,2024-02-01,2024-02-01,2024,Healthcare
RXO,2024-02-02,6,90812016.0,2024-02-02,2024-02-02,2024,Industrials
WOLF,2024-02-02,3,1027807.5,2024-02-02,2024-02-02,2024,Technology
ANRO,2024-02-06,6,38722000.0,2024-02-06,2024-02-06,2024,Healthcare
SANA,2024-02-08,15,149999932.5,2024-02-08,2024-02-08,2024,Healthcare
MRCY,2024-02-09,5,37868848.01,2024-02-09,2024-02-09,2024,Industrials
EG,2024-02-09,4,947979.55,2024-02-09,2024-02-09,2024,Financial Services
PRME,2024-02-15,12,240000000.0,2024-02-15,2024-02-15,2024,Healthcare
GTES,2024-02-16,3,12948897.0,2024-02-16,2024-02-16,2024,Industrials
CART,2024-02-20,26,1614313406.44,2024-02-20,2024-02-20,2024,Consumer Cyclical
FCNCA,2024-02-20,3,2656276.7,2024-02-20,2024-02-20,2024,Financial Services
IOVA,2024-02-20,3,48330300.0,2024-02-20,2024-02-20,2024,Healthcare
HTLD,2024-02-22,4,740079.48,2024-02-22,2024-02-22,2024,Industrials
BNL,2024-02-26,4,427270.0,2024-02-26,2024-02-26,2024,Real Estate
GSHD,2024-02-26,3,542448.52,2024-02-26,2024-02-26,2024,Financial Services
RIG,2024-02-27,3,14670000.0,2024-02-27,2024-02-27,2024,Energy
AMN,2024-02-28,3,1542325.26,2024-02-27,2024-02-28,2024,Healthcare
MDRX,2024-02-28,10,1122025500.0,2024-02-28,2024-02-28,2024,Healthcare
BH,2024-03-04,3,1257512.4,2024-03-04,2024-03-04,2024,Consumer Cyclical
ACHR,2024-03-04,6,93757071.36,2024-03-04,2024-03-04,2024,Industrials
WGS,2024-03-04,5,1748000.0,2024-03-04,2024-03-04,2024,Healthcare
PX,2024-03-05,6,598500.0,2024-03-05,2024-03-05,2024,Financial Services
ELAN,2024-03-08,3,617799.0,2024-03-06,2024-03-08,2024,Healthcare
BTSG,2024-03-14,3,808029.6,2024-03-14,2024-03-14,2024,Healthcare
AMR,2024-03-15,6,26407733.04,2024-03-15,2024-03-15,2024,Basic Materials
CORZ,2024-03-15,4,1188218.0,2024-03-15,2024-03-15,2024,Technology
AAOI,2024-03-18,3,802433.8,2024-02-27,2024-03-18,2024,Technology
LILA,2024-03-20,3,8767220.14,2024-02-26,2024-03-20,2024,Communication Services
ALAB,2024-03-22,3,1322892.0,2024-03-22,2024-03-22,2024,Technology
SPRY,2024-03-25,5,66447052.05,2024-03-25,2024-03-25,2024,Healthcare
CRK,2024-03-25,4,402000000.0,2024-03-25,2024-03-25,2024,Energy
FSBC,2024-03-28,5,5450006.25,2024-03-28,2024-03-28,2024,Financial Services
CWEN,2024-03-28,11,49528567.44,2024-03-28,2024-03-28,2024,Utilities
PGY,2024-04-04,4,1667448.8,2024-04-03,2024-04-04,2024,Technology
TKO,2024-04-09,7,1023685317.9,2024-04-09,2024-04-09,2024,Communication Services
RXO,2024-04-12,6,4994405.46,2024-04-12,2024-04-12,2024,Industrials
ULS,2024-04-16,19,16453780.0,2024-04-16,2024-04-16,2024,Industrials
EYPT,2024-04-18,3,31468338.54,2024-04-18,2024-04-18,2024,Healthcare
BHVN,2024-04-22,3,14999932.0,2024-04-22,2024-04-22,2024,Healthcare
CTRI,2024-04-22,8,2880150.0,2024-04-22,2024-04-22,2024,Utilities
GL,2024-04-24,3,377317.98,2024-04-24,2024-04-24,2024,Financial Services
ACDC,2024-04-25,6,83726825.4,2024-04-25,2024-04-25,2024,Energy
HTLD,2024-04-26,5,13079500.64,2024-04-26,2024-04-26,2024,Industrials
HXL,2024-04-26,3,1863210.0,2024-04-25,2024-04-26,2024,Industrials
LOAR,2024-04-29,3,6000036.0,2024-04-29,2024-04-29,2024,Industrials
SABR,2024-05-08,3,368650.0,2024-05-03,2024-05-08,2024,Technology
BCRX,2024-05-13,3,451050.6,2024-05-13,2024-05-13,2024,Healthcare
WGS,2024-05-13,5,5827500.0,2024-05-13,2024-05-13,2024,Healthcare
OUST,2024-05-15,3,418000.0,2024-05-15,2024-05-15,2024,Technology
RIG,2024-05-15,3,36060000.0,2024-05-15,2024-05-15,2024,Energy
APEI,2024-05-17,6,49509396.9,2024-05-17,2024-05-17,2024,Consumer Defensive
BATRA,2024-05-22,4,499560.0,2024-05-22,2024-05-22,2024,Communication Services
SUN,2024-05-24,3,502220.0,2024-05-23,2024-05-24,2024,Energy
BOW,2024-05-28,4,1804458.0,2024-05-28,2024-05-28,2024,Financial Services
NSC,2024-05-29,3,1619093.6,2024-05-29,2024-05-29,2024,Industrials
CRM,2024-06-03,8,798374080.0,2024-06-03,2024-06-03,2024,Technology
